,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,company,age
513,Maruti Alto,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90.0,5,Maruti,11
514,Hyundai i20,801000,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,Hyundai,4
515,Tata Venture,317000,15000,Diesel,Individual,Manual,First Owner,15.42,1405,70.0,135.0,7,Tata,8
516,Maruti Ertiga,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,130.0,7,Maruti,7
517,Hyundai i20,330000,30000,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,113.7,5,Hyundai,8
518,Hyundai EON,320000,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,5
519,Hyundai Getz,120000,110000,Petrol,Individual,Manual,Second Owner,15.3,1341,83.0,115.0,5,Hyundai,15
520,Maruti Alto,130000,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,Maruti,13
521,Chevrolet Sail,220000,80000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,108.5,5,Chevrolet,7
522,Tata Zest,340000,110000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140.0,5,Tata,7
523,Ford Classic,200000,70000,Diesel,Individual,Manual,Second Owner,19.68,1399,67.0,160.0,5,Ford,9
524,Maruti Alto,140000,50000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,Maruti,20
525,Toyota Innova,1000000,190000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,8,Toyota,9
526,Mahindra Bolero,495000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,Mahindra,12
527,Maruti Alto,236000,60000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,Maruti,7
528,Maruti Wagon,390000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,7
529,Maruti Swift,275000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,Maruti,13
530,Tata Safari,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,Tata,7
531,Maruti Vitara,775000,32000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,5
532,Toyota Innova,1800000,30000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,360.0,7,Toyota,6
533,Hyundai Creta,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9,5,Hyundai,6
534,Maruti Vitara,750000,5000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200.0,5,Maruti,4
535,Hyundai i20,570000,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7,5,Hyundai,4
536,Hyundai Grand,580000,32000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,113.75,5,Hyundai,4
537,Honda Jazz,484999,30000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,110.0,5,Honda,6
538,Honda BR-V,700000,43000,Petrol,Dealer,Manual,First Owner,15.4,1497,117.3,145.0,7,Honda,5
539,Hyundai Verna,415000,60000,Petrol,Dealer,Manual,First Owner,17.7,1497,113.42,144.15,5,Hyundai,10
540,Nissan Micra,325000,50000,Petrol,Individual,Automatic,First Owner,19.34,1198,76.0,104.0,5,Nissan,7
541,Ford Figo,550000,14200,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,Ford,4
542,Hyundai EON,300000,10000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,Hyundai,5
543,Datsun RediGO,217000,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,72.0,5,Datsun,4
544,Ford Freestyle,700000,19100,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,120.0,5,Ford,4
545,Hyundai Santro,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,99.0,5,Hyundai,3
546,Ford EcoSport,484999,54000,Diesel,Dealer,Manual,First Owner,23.0,1498,98.96,205.0,5,Ford,8
547,Nissan Sunny,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,200.0,5,Nissan,4
548,Hyundai Grand,500000,20000,Petrol,Individual,Manual,Second Owner,18.9,1197,81.86,113.75,5,Hyundai,4
549,Maruti SX4,675000,52000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,200.0,5,Maruti,6
550,Hyundai i20,220000,120000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4,5,Hyundai,11
551,Jeep Compass,1650000,50000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,350.0,5,Jeep,5
552,Maruti Ertiga,630000,120000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,200.0,7,Maruti,9
553,Tata Manza,250000,90000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,200.0,5,Tata,12
554,Maruti Wagon,120000,120000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,90.0,5,Maruti,18
555,Skoda Rapid,300000,101500,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250.0,5,Skoda,7
556,Hyundai Verna,525000,75000,Diesel,Individual,Automatic,First Owner,22.32,1582,126.3,259.9,5,Hyundai,9
557,Mahindra Scorpio,1100000,100000,Diesel,Individual,Manual,First Owner,15.4,1997,120.0,280.0,7,Mahindra,6
558,Renault Duster,480000,55735,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248.0,5,Renault,10
559,Mahindra XUV500,605000,80000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,330.0,7,Mahindra,8
560,Maruti Alto,250000,50000,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,69.0,5,Maruti,6
561,Ford Figo,245000,70000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.1,160.0,5,Ford,9
562,Hyundai i10,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197,78.9,111.7,5,Hyundai,10
563,Maruti Swift,730000,1500,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,Maruti,2
564,Mahindra Bolero,500000,76000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,Mahindra,10
565,Maruti Wagon,400000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,7
566,Hyundai EON,280000,60000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,7
567,Toyota Innova,561000,170000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,20.4,8,Toyota,13
568,Mitsubishi Pajero,950000,181491,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400.0,7,Mitsubishi,9
569,Chevrolet Beat,375000,53319,Diesel,Dealer,Manual,First Owner,25.44,936,56.3,142.5,5,Chevrolet,6
570,Volkswagen Ameo,700000,40906,Diesel,Dealer,Manual,First Owner,21.66,1498,108.62,250.0,5,Volkswagen,5
571,Toyota Etios,375000,31711,Petrol,Dealer,Manual,Second Owner,17.6,1496,88.7,132.0,5,Toyota,10
572,Hyundai EON,270000,43755,Petrol,Dealer,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,10
573,Renault KWID,300000,66693,Petrol,Dealer,Manual,First Owner,25.17,799,53.3,72.0,5,Renault,6
574,Maruti Zen,225000,59549,Petrol,Dealer,Manual,First Owner,19.0,998,67.1,90.0,5,Maruti,12
575,Toyota Innova,1350000,94385,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,200.0,8,Toyota,7
576,Maruti Zen,200000,73730,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,90.0,5,Maruti,12
577,Hyundai Verna,400000,221889,Diesel,Dealer,Manual,First Owner,22.32,1582,126.32,259.8,5,Hyundai,11
578,Honda Amaze,500000,116104,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,200.0,5,Honda,9
579,Maruti Swift,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113.0,5,Maruti,7
580,Toyota Fortuner,1500000,148120,Diesel,Dealer,Manual,First Owner,14.24,2755,174.5,420.0,7,Toyota,9
581,Ford Ecosport,555000,20000,Petrol,Individual,Manual,Second Owner,15.8,1499,110.0,140.0,5,Ford,7
582,Hyundai Grand,580000,30000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,113.75,5,Hyundai,4
583,Tata Aria,337000,142000,Diesel,Individual,Manual,Third Owner,13.7,2179,138.1,320.0,7,Tata,11
584,Tata Sumo,175000,20000,Diesel,Individual,Manual,First Owner,12.2,1948,68.0,115.0,10,Tata,11
585,Tata Manza,180000,120000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,200.0,5,Tata,13
586,Hyundai i10,200000,80000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,99.04,5,Hyundai,11
587,Tata Indigo,260000,60000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,Tata,6
588,Renault KWID,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,Renault,6
589,Mahindra Bolero,409999,50000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,7,Mahindra,11
590,Mahindra TUV,655000,126000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,Mahindra,5
591,Maruti Swift,370000,170000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190.0,5,Maruti,7
592,Maruti Alto,200000,24000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,69.0,5,Maruti,9
593,Maruti Ertiga,800000,100000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200.0,7,Maruti,5
594,Tata Tiago,550000,10000,Petrol,Individual,Manual,First Owner,24.0,1199,83.81,114.0,5,Tata,3
595,Ford Figo,300000,70000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,160.0,5,Ford,10
596,Maruti Omni,220000,40000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59.0,8,Maruti,5
597,Maruti Wagon,196000,110000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,90.0,5,Maruti,11
598,Hyundai i10,135000,80000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,99.04,5,Hyundai,14
599,Tata Bolt,299000,16500,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,140.0,5,Tata,7
600,Maruti Alto,300000,30000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,5
601,Maruti Ertiga,720000,80000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200.0,7,Maruti,5
602,Tata Safari,650000,50000,Diesel,Individual,Manual,Third Owner,14.1,2179,147.94,320.0,7,Tata,6
603,Maruti Alto,300000,25000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,6
604,Hyundai Grand,750000,20000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,190.24,5,Hyundai,3
605,Renault KWID,260000,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72.0,5,Renault,6
606,Maruti Swift,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,190.0,5,Maruti,11
607,Mahindra Bolero,600000,50000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195.0,7,Mahindra,8
608,Honda Accord,275000,100000,Petrol,Individual,Automatic,Second Owner,9.0,2997,218.0,196.0,5,Honda,18
609,Maruti Alto,250000,52000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,7
610,Maruti Swift,420000,80000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190.0,5,Maruti,8
611,Hyundai EON,235000,50000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,Hyundai,7
612,Mahindra Scorpio,1100000,60000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,280.0,7,Mahindra,6
613,Maruti Alto,360000,25000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,3
614,Hyundai Grand,380000,50000,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,160.0,5,Hyundai,8
615,Ford EcoSport,650000,125000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,205.0,5,Ford,6
616,Maruti Wagon,350000,80000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90.0,5,Maruti,6
617,Mahindra Bolero,700000,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,180.0,9,Mahindra,5
618,Hyundai i20,270000,90000,Diesel,Individual,Manual,Third Owner,23.0,1396,90.0,22.4,5,Hyundai,12
619,Tata Bolt,450000,50000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190.0,5,Tata,5
620,Mahindra Thar,630000,101000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,247.0,6,Mahindra,6
621,Mahindra Xylo,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,7,Mahindra,12
622,Mahindra Xylo,229999,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,260.0,7,Mahindra,12
623,Maruti Wagon,270000,40000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,90.0,5,Maruti,11
624,Tata Indica,135000,28900,Petrol,Individual,Manual,Second Owner,0.0,1172,65.0,9.8,5,Tata,13
625,Maruti Wagon,275000,20000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,90.0,5,Maruti,10
626,Jaguar XE,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,430.0,5,Jaguar,5
627,Lexus ES,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,202.0,5,Lexus,3
628,Jaguar XF,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,430.0,5,Jaguar,5
629,Tata Safari,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,320.0,7,Tata,7
630,Volvo XC40,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,400.0,5,Volvo,3
631,Toyota Camry,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,213.0,5,Toyota,6
632,Maruti Wagon,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,90.0,5,Maruti,9
633,Maruti Baleno,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,190.0,5,Maruti,4
634,Honda Jazz,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,110.0,5,Honda,6
635,Toyota Innova,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,200.0,7,Toyota,9
636,Maruti Swift,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,Maruti,3
637,Toyota Etios,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,132.0,5,Toyota,5
638,Maruti Swift,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197,81.8,113.0,5,Maruti,4
639,Hyundai Grand,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,190.24,5,Hyundai,5
640,BMW X4,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,BMW,3
641,BMW X4,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,400.0,5,BMW,3
642,Honda Amaze,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,110.0,5,Honda,3
643,Skoda Rapid,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,153.0,5,Skoda,6
644,Volvo V40,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,350.0,5,Volvo,4
645,Mahindra TUV,634000,165000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,Mahindra,7
646,Maruti A-Star,235000,98500,Petrol,Individual,Manual,Second Owner,19.0,998,66.1,90.0,5,Maruti,10
647,Hyundai i10,275000,98000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,111.8,5,Hyundai,14
648,Mahindra Thar,700000,40000,Diesel,Individual,Manual,Second Owner,16.55,2498,105.0,247.0,6,Mahindra,8
649,Fiat Grande,400000,90000,Diesel,Individual,Manual,First Owner,20.3,1248,92.0,209.0,5,Fiat,9
650,Maruti Alto,215000,90000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,62.0,5,Maruti,10
651,Hyundai Getz,150000,110000,Diesel,Individual,Manual,Second Owner,17.1,1493,110.0,24.0,5,Hyundai,13
652,Maruti S-Cross,950000,77800,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,200.0,5,Maruti,4
653,Mahindra TUV,730000,100000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,Mahindra,7
654,Tata Indica,135000,120000,Diesel,Individual,Manual,Second Owner,19.0,1405,71.0,135.0,5,Tata,10
655,Hyundai Xcent,350000,80000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,114.0,5,Hyundai,6
656,Mahindra KUV,535000,21000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,115.0,6,Mahindra,4
657,Maruti Swift,455000,100000,Petrol,Individual,Manual,Second Owner,19.0,1197,85.8,114.0,5,Maruti,4
658,Maruti Swift,655000,25000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113.0,5,Maruti,3
659,Ford EcoSport,800000,30000,Diesel,Individual,Manual,Third Owner,23.0,1498,98.96,205.0,5,Ford,3
660,Toyota Yaris,1100000,25000,Petrol,Individual,Automatic,First Owner,17.8,1496,105.5,140.0,5,Toyota,4
661,Mercedes-Benz E-Class,3000000,40000,Diesel,Individual,Automatic,First Owner,13.0,2143,204.0,500.0,5,Mercedes-Benz,6
662,Toyota Fortuner,1225000,160000,Diesel,Individual,Automatic,First Owner,11.5,2982,169.0,343.0,7,Toyota,10
663,Mahindra KUV,340000,51492,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,6,Mahindra,4
664,Volkswagen Vento,300000,72000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,250.0,5,Volkswagen,11
665,Ford Figo,370000,60000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,Ford,6
666,Mahindra Bolero,330000,136000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195.0,7,Mahindra,9
667,Hyundai Santro,238000,60000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,96.1,5,Hyundai,8
668,Hyundai Santro,200000,90000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,96.1,5,Hyundai,9
669,Nissan Sunny,320000,91000,Diesel,Individual,Manual,Fourth & Above Owner,22.71,1461,84.8,200.0,5,Nissan,8
670,Hyundai Santro,114999,90000,Petrol,Individual,Manual,Fourth & Above Owner,17.92,1086,62.1,96.1,5,Hyundai,13
671,Maruti Wagon,320000,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,90.0,5,Maruti,7
672,Hyundai i10,210000,20000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,99.04,5,Hyundai,12
673,Mahindra Xylo,200000,120000,Diesel,Individual,Manual,First Owner,14.0,2489,95.0,220.0,8,Mahindra,11
674,Maruti Wagon,135000,150000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84.0,5,Maruti,13
675,Tata Indigo,350000,52000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,135.0,5,Tata,7
676,Mahindra Bolero,350000,167000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,8,Mahindra,8
677,Maruti Swift,680000,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190.0,5,Maruti,5
678,Maruti Swift,200000,190000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,190.0,5,Maruti,12
679,Renault KWID,300000,50000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,Renault,6
680,Mahindra Xylo,270000,70000,Diesel,Individual,Manual,Second Owner,14.0,2498,112.0,260.0,7,Mahindra,11
681,Maruti Wagon,225000,80000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90.0,5,Maruti,10
682,Mahindra Bolero,250000,120000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,180.0,8,Mahindra,14
683,Mahindra TUV,590000,40000,Diesel,Individual,Manual,Second Owner,18.49,1493,100.0,240.0,7,Mahindra,7
684,Hyundai EON,290000,17000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5,5,Hyundai,7
685,Maruti Zen,100000,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,90.0,5,Maruti,12
686,Maruti Celerio,395000,50000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,90.0,5,Maruti,6
687,Hyundai EON,195000,65000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,8
688,Tata Nano,45000,10000,Petrol,Individual,Manual,Third Owner,26.0,624,35.0,48.0,4,Tata,11
689,Mahindra Bolero,270000,70000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180.0,8,Mahindra,13
690,Chevrolet Tavera,600000,90000,Diesel,Individual,Manual,Second Owner,13.58,2499,72.4,171.0,9,Chevrolet,8
691,Hyundai i20,715000,50000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7,5,Hyundai,7
692,Hyundai Elite,600000,10000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,117.0,5,Hyundai,3
693,Mahindra TUV,875000,25000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240.0,7,Mahindra,3
694,Mahindra Scorpio,420000,100000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,277.5,5,Mahindra,11
695,Honda CR-V,325000,70000,Petrol,Individual,Automatic,Second Owner,10.1,2354,152.0,215.0,5,Honda,15
696,Datsun GO,385000,30000,Petrol,Individual,Manual,First Owner,20.63,1198,67.06,104.0,5,Datsun,5
697,Mahindra KUV,300000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115.0,6,Mahindra,6
698,Hyundai i20,335000,135000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,219.6,5,Hyundai,10
699,Maruti Celerio,300000,35000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,90.0,5,Maruti,8
700,Hyundai Accent,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,12.5,5,Hyundai,18
701,Mahindra Bolero,400000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,7,Mahindra,10
702,Tata Indigo,168000,190000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,135.0,5,Tata,10
703,Mahindra Bolero,550000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195.0,9,Mahindra,6
704,Mahindra Bolero,320000,175000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,180.0,7,Mahindra,11
705,Mahindra Bolero,320000,175000,Diesel,Individual,Manual,Third Owner,15.96,2523,63.0,180.0,9,Mahindra,11
706,Nissan Sunny,350000,25000,Petrol,Individual,Manual,Second Owner,16.95,1498,97.7,134.0,5,Nissan,11
707,Tata Manza,280000,80000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,200.0,5,Tata,9
708,Hyundai Xcent,550000,70000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,180.4,5,Hyundai,5
709,Hyundai Xcent,500000,10000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75,5,Hyundai,4
710,Ford Freestyle,700000,6000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,120.0,5,Ford,3
711,Skoda Rapid,380000,90000,Diesel,Individual,Manual,Second Owner,20.5,1598,103.5,250.0,5,Skoda,9
712,Mahindra Bolero,340000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,63.0,180.0,9,Mahindra,10
713,Mahindra Bolero,160000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,180.0,9,Mahindra,15
714,Toyota Innova,750000,50000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,200.0,7,Toyota,8
715,Hyundai Grand,531000,20000,Petrol,Individual,Automatic,First Owner,18.9,1197,81.86,113.75,5,Hyundai,4
716,Renault KWID,300000,35000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,91.0,5,Renault,5
717,Volkswagen Polo,350000,60000,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,230.0,5,Volkswagen,8
718,Chevrolet Beat,150000,68000,Petrol,Individual,Manual,Fourth & Above Owner,18.6,1199,79.4,108.0,5,Chevrolet,12
719,Maruti Swift,450000,30000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,113.0,5,Maruti,7
720,Mahindra XUV500,1625000,54000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,330.0,7,Mahindra,5
721,Tata Indica,85000,120000,Diesel,Individual,Manual,Third Owner,16.8,1405,68.0,13.0,5,Tata,16
722,Hyundai Grand,450000,30000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,113.75,5,Hyundai,4
723,Tata Tiago,360000,50000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,140.0,5,Tata,5
724,Maruti Alto,390000,6000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,90.0,5,Maruti,2
725,Maruti Eeco,145000,50000,Petrol,Individual,Manual,Second Owner,15.37,1196,73.0,101.0,7,Maruti,11
726,Mahindra Scorpio,540000,90000,Diesel,Individual,Manual,Third Owner,12.05,2179,120.0,290.0,8,Mahindra,10
727,Toyota Innova,290000,126000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,20.4,8,Toyota,14
728,Tata Indigo,300000,90000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,140.0,5,Tata,9
729,Ford Figo,565000,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,112.0,5,Ford,5
730,Mahindra Scorpio,441000,70000,Diesel,Individual,Manual,Second Owner,10.5,2609,120.0,290.0,7,Mahindra,11
731,Hyundai EON,180000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,11
732,Hyundai EON,200000,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,74.5,5,Hyundai,9
733,Maruti Alto,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62.0,5,Maruti,17
734,Tata Indica,67500,110000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,52.8,85.0,5,Tata,16
735,Maruti Vitara,700000,110000,Diesel,Individual,Manual,Second Owner,24.3,1248,88.5,200.0,5,Maruti,6
736,Volkswagen Polo,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199,73.9,180.0,5,Volkswagen,12
737,Hyundai Grand,600000,20000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,113.75,5,Hyundai,3
738,Mahindra Xylo,250000,120000,Diesel,Individual,Manual,First Owner,13.0,2489,95.0,220.0,8,Mahindra,11
739,Mahindra Bolero,600000,120000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,180.0,9,Mahindra,6
740,Fiat Linea,200000,80000,Diesel,Individual,Manual,Second Owner,20.4,1248,91.2,209.0,5,Fiat,12
741,Hyundai Grand,425000,91500,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,160.0,5,Hyundai,7
742,Maruti Swift,420000,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190.0,5,Maruti,10
743,Hyundai i20,321000,100000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4,5,Hyundai,10
744,Mahindra Xylo,350000,120000,Diesel,Individual,Manual,Fourth & Above Owner,14.0,2498,112.0,260.0,8,Mahindra,10
745,Honda Amaze,490000,80000,Petrol,Individual,Manual,First Owner,17.8,1198,86.7,109.0,5,Honda,5
